date,actual_c,prediction_c,persistence_c,fusion_coefficient
2024-01-31,21.053965,21.722094,21.18140750000002,0.8222495
2024-02-01,21.556503,21.3969,21.05396333333336,0.8222495
2024-02-02,22.922209,22.103924,21.55650375000002,0.8222495
2024-02-03,22.281816,22.835209,22.92220916666669,0.8222495
2024-02-04,21.370619,22.530087,22.28181541666669,0.8222495
2024-02-05,21.384192,21.911636,21.370619583333355,0.8222495
2024-02-06,23.693071,21.974657,21.384190000000018,0.8222495
2024-02-07,23.865297,23.545437,23.69307041666669,0.8222495
2024-02-08,23.568235,23.98144,23.86529791666669,0.8222495
2024-02-09,22.357752,23.76892,23.56823458333336,0.8222495
2024-02-10,21.274862,21.819504,22.357751250000025,0.8222495
2024-02-11,22.734816,21.91604,21.274862916666688,0.8222495
2024-02-12,23.310467,23.16607,22.734816666666685,0.8222495
2024-02-13,22.783358,23.281185,23.310466666666695,0.8222495
2024-02-14,22.749722,23.060253,22.783357500000022,0.8222495
2024-02-15,24.359184,22.887495,22.749721666666687,0.8222495
2024-02-16,24.169168,24.175251,24.359185000000025,0.8222495
2024-02-17,23.858622,24.317509,24.169167500000018,0.8222495
2024-02-18,23.085514,24.369717,23.85862291666669,0.8222495
2024-02-19,23.115194,23.351454,23.085514166666684,0.8222495
2024-02-20,24.106428,23.701708,23.115194583333352,0.8222495
2024-02-21,25.093004,24.34003,24.10642875000002,0.8222495
2024-02-22,26.974224,24.752047,25.093003333333353,0.8222495
2024-02-23,26.789454,26.531988,26.974223750000018,0.8222495
2024-02-24,24.56697,26.743248,26.789453333333352,0.8222495
2024-02-25,25.61834,24.547523,24.56697041666668,0.8222495
2024-02-26,25.306452,25.801294,25.618340833333363,0.8222495
2024-02-27,26.018026,25.168806,25.306451666666693,0.8222495
2024-02-28,26.648073,26.469908,26.018026250000023,0.8222495
2024-02-29,25.643818,26.599659,26.648072500000016,0.8222495
2024-03-01,25.171835,25.349424,25.64381833333336,0.8222495
2024-03-02,25.46815,25.407007,25.171832916666688,0.8222495
2024-03-03,26.580284,25.921154,25.468149583333354,0.8222495
2024-03-04,26.770256,26.939991,26.580284166666683,0.8222495
2024-03-05,26.683695,27.08027,26.770256666666683,0.8222495
2024-03-06,25.158516,26.923687,26.683693750000018,0.8222495
2024-03-07,24.76151,24.995909,25.15851416666669,0.8222495
2024-03-08,25.233334,25.369162,24.761510416666695,0.8222495
2024-03-09,25.132322,26.025421,25.233332083333362,0.8222495
2024-03-10,24.629166,25.431799,25.132321666666694,0.8222495
2024-03-11,27.029497,25.500132,24.629165416666694,0.8222495
2024-03-12,27.964216,27.712193,27.029495833333346,0.8222495
2024-03-13,26.810135,27.904325,27.96421625000002,0.8222495
2024-03-14,27.340136,27.48438,26.81013583333335,0.8222495
2024-03-15,28.185902,27.670362,27.34013500000002,0.8222495
2024-03-16,27.460077,28.468122,28.18590000000003,0.8222495
2024-03-17,27.50192,27.51579,27.460077500000022,0.8222495
2024-03-18,27.91824,27.586689,27.501920000000023,0.8222495
2024-03-19,29.241678,28.244932,27.918240000000022,0.8222495
2024-03-20,29.516144,29.301025,29.241679166666685,0.8222495
2024-03-21,27.84832,29.3412,29.516142083333364,0.8222495
2024-03-22,25.07947,26.993084,27.848318750000022,0.8222495
2024-03-23,27.568396,26.598543,25.079468333333352,0.8222495
2024-03-24,27.869118,28.315779,27.56839541666669,0.8222495
2024-03-25,28.206276,28.050114,27.869116666666695,0.8222495
2024-03-26,29.18085,28.674398,28.20627625000003,0.8222495
2024-03-27,29.614576,29.347233,29.18084916666669,0.8222495
2024-03-28,29.823145,29.350697,29.61457458333335,0.8222495
2024-03-29,31.026018,29.943941,29.82314416666669,0.8222495
2024-03-30,31.740282,30.492292,31.026019166666696,0.8222495
2024-03-31,31.638958,30.769714,31.74028291666669,0.8222495
2024-04-01,33.10087,31.173504,31.638957083333356,0.8222495
2024-04-02,33.121395,32.34905,33.10086666666668,0.8222495
2024-04-03,33.542534,32.40828,33.121396250000025,0.8222495
2024-04-04,33.415527,32.80756,33.54253083333336,0.8222495
2024-04-05,34.55183,32.857903,33.41552666666669,0.8222495
2024-04-06,35.447987,33.590965,34.55182958333336,0.8222495
2024-04-07,33.785324,34.32835,35.447985000000024,0.8222495
2024-04-08,32.834435,32.794685,33.78532541666669,0.8222495
2024-04-09,32.13692,32.461147,32.83443500000002,0.8222495
2024-04-10,32.7291,31.962257,32.13692041666669,0.8222495
2024-04-11,32.291443,32.51578,32.72909666666669,0.8222495
2024-04-12,31.693375,32.198307,32.29144041666669,0.8222495
2024-04-13,31.762995,31.937738,31.69337291666669,0.8222495
2024-04-14,31.960302,31.937927,31.762994166666687,0.8222495
2024-04-15,32.783234,31.761572,31.960302500000022,0.8222495
2024-04-16,33.877567,32.875732,32.78323208333336,0.8222495
2024-04-17,33.50579,33.183643,33.877565000000025,0.8222495
2024-04-18,33.122925,33.17764,33.50579125000002,0.8222495
2024-04-19,34.016502,32.833553,33.12292500000003,0.8222495
2024-04-20,34.836414,33.677986,34.01650208333336,0.8222495
2024-04-21,34.677475,33.867615,34.83641333333335,0.8222495
2024-04-22,35.08748,34.0083,34.67747458333335,0.8222495
2024-04-23,34.689816,34.440216,35.08747666666669,0.8222495
2024-04-24,34.059925,34.43214,34.68981541666668,0.8222495
2024-04-25,34.34007,33.05741,34.05992375000002,0.8222495
2024-04-26,34.439022,34.267635,34.34006875000002,0.8222495
2024-04-27,35.51703,34.388348,34.43902083333336,0.8222495
2024-04-28,36.613857,35.283268,35.51702750000002,0.8222495
2024-04-29,35.137234,35.61736,36.61385916666669,0.8222495
2024-04-30,35.91544,34.434204,35.13723333333335,0.8222495
2024-05-01,34.590137,35.34736,35.91543791666669,0.8222495
2024-05-02,30.189774,34.138744,34.59013625000003,0.8222495
2024-05-03,30.083305,29.593933,30.18977375000002,0.8222495
2024-05-04,30.607046,31.47768,30.083302916666693,0.8222495
2024-05-05,31.538057,31.261887,30.60704541666669,0.8222495
2024-05-06,30.397308,32.069626,31.53805583333336,0.8222495
2024-05-07,29.265879,31.26605,30.39730750000002,0.8222495
2024-05-08,31.33222,30.108313,29.26587916666669,0.8222495
2024-05-09,31.649786,31.919628,31.33222125000002,0.8222495
2024-05-10,30.98626,31.266775,31.649785416666685,0.8222495
2024-05-11,31.220444,31.474155,30.986258333333357,0.8222495
2024-05-12,32.01355,31.879885,31.220444166666695,0.8222495
2024-05-13,33.56617,32.439255,32.013549166666685,0.8222495
2024-05-14,35.34471,33.672867,33.566166250000016,0.8222495
