date,actual_c,prediction_c,persistence_c,fusion_coefficient
2024-04-29,35.137234,35.22368,36.61385916666669,0.3238467
2024-04-30,35.91544,34.24947,35.13723333333335,0.32392773
2024-05-01,34.590137,35.085484,35.91543791666669,0.32402122
2024-05-02,30.189774,33.929424,34.59013625000003,0.32412708
2024-05-03,30.083305,29.262472,30.18977375000002,0.32424536
2024-05-04,30.607046,31.380617,30.083302916666693,0.32437596
2024-05-05,31.538057,31.15872,30.60704541666669,0.3245189
2024-05-06,30.397308,31.736534,31.53805583333336,0.32467413
2024-05-07,29.265879,30.98361,30.39730750000002,0.3248416
2024-05-08,31.33222,29.917368,29.26587916666669,0.32502124
2024-05-09,31.649786,31.784853,31.33222125000002,0.3252131
2024-05-10,30.98626,31.141003,31.649785416666685,0.32541704
2024-05-11,31.220444,31.299175,30.986258333333357,0.32563308
2024-05-12,32.01355,31.691616,31.220444166666695,0.32586113
2024-05-13,33.56617,32.19129,32.013549166666685,0.32610115
2024-05-14,35.34471,33.371357,33.566166250000016,0.32635307
2024-05-15,35.702152,34.529144,35.34471125000002,0.32661682
2024-05-16,36.822906,34.702805,35.70215041666668,0.3268924
2024-05-17,36.98382,35.500668,36.82290666666668,0.3271797
2024-05-18,32.894913,34.7344,36.98382125000003,0.32747862
2024-05-19,32.386005,30.970943,32.89491416666669,0.32778913
2024-05-20,31.934135,32.262016,32.386006250000015,0.3281111
2024-05-21,29.265696,32.107635,31.934135833333357,0.32844454
2024-05-22,31.434576,29.628443,29.265695833333364,0.32878926
2024-05-23,32.613342,32.518303,31.43457708333335,0.32914528
2024-05-24,32.309364,32.276146,32.613341666666685,0.32951248
2024-05-25,29.403177,31.40699,32.30936500000002,0.32989073
2024-05-26,28.817392,27.99289,29.403177083333357,0.33027998
2024-05-27,28.83877,28.074484,28.81739166666669,0.33068013
2024-05-28,30.091314,29.343771,28.838770416666687,0.33109102
2024-05-29,30.822802,29.71702,30.09131375000003,0.3315126
2024-05-30,31.832699,30.41417,30.82280291666669,0.3319448
2024-05-31,31.239477,31.807688,31.83269791666669,0.33238748
2024-06-01,30.184572,29.943644,31.239475416666693,0.33284047
2024-06-02,29.49827,29.396618,30.184572083333347,0.33330378
2024-06-03,30.018223,29.68683,29.49827083333336,0.33377716
2024-06-04,30.46338,30.463984,30.01822208333336,0.33426055
2024-06-05,30.779673,30.626915,30.46338041666669,0.33475387
2024-06-06,29.753351,30.437769,30.779670833333352,0.3352569
2024-06-07,29.517529,29.712015,29.753350833333354,0.3357696
2024-06-08,30.782433,29.670994,29.517528750000025,0.3362918
2024-06-09,31.80183,30.836916,30.782431666666692,0.33682334
2024-06-10,32.622746,31.188835,31.801829166666693,0.33736408
2024-06-11,31.00195,31.674078,32.62274458333335,0.337914
2024-06-12,29.634815,30.727951,31.001949583333353,0.33847278
2024-06-13,28.939804,29.508768,29.634814583333355,0.3390404
2024-06-14,28.67887,29.265211,28.939805000000018,0.3396167
2024-06-15,29.459038,28.908205,28.678868750000024,0.34020144
2024-06-16,30.609743,29.807854,29.459038333333357,0.3407945
2024-06-17,30.802576,30.345154,30.609743333333356,0.3413958
2024-06-18,30.500189,30.508238,30.80257708333336,0.3420051
2024-06-19,31.026981,30.349598,30.500188750000024,0.34262228
2024-06-20,31.396511,30.625654,31.02698166666669,0.34324712
2024-06-21,31.283434,30.909975,31.396511666666697,0.34387952
2024-06-22,33.49574,30.835495,31.283433333333353,0.3445193
2024-06-23,32.864502,32.334263,33.49573958333335,0.34516624
2024-06-24,32.67827,31.67602,32.86450083333336,0.34582016
2024-06-25,31.36903,31.76758,32.678268333333364,0.34648094
